"Zeit";"Position";"Signalgeschwindigkeit"
7,611689;1,011733;1,43422
7,613252;1,009235;1,598204
7,614875;1,006891;1,444394
7,616474;1,004456;1,523081
7,618189;1,002059;1,39748
7,619808;0,999485;1,589789
7,621395;0,9970568;1,53033
7,623094;0,9946767;1,400867
7,624661;0,9921282;1,625847
7,626431;0,989777;1,3283
7,628094;0,9871218;1,596698
7,629718;0,9846275;1,536299
7,631378;0,9821921;1,466658
7,632947;0,9797013;1,587279
7,634558;0,9773476;1,461798
7,636125;0,9749323;1,540763
7,63768;0,9725809;1,512838
7,63919;0,9702494;1,543282
7,64079;0,9679834;1,416901
7,642501;0,9655844;1,401839
7,644124;0,9630175;1,581306
7,645708;0,9605825;1,537519
7,65008;0,958207;0,5433166
7,651786;0,9516485;3,844811
7,65336;0,9490898;1,625196
7,654888;0,9467282;1,545749
7,656421;0,9444365;1,495386
7,658028;0,9421377;1,430207
7,659573;0,9397268;1,560888
7,661108;0,9374099;1,50859
7,662898;0,9351062;1,287426
7,664687;0,932422;1,500009
7,666286;0,9297379;1,678937
7,667845;0,9273399;1,538015
7,669377;0,925001;1,526948
7,670911;0,9227035;1,497049
7,672534;0,9204015;1,419179
7,674122;0,9179683;1,53171
7,675672;0,9155856;1,537261
7,677223;0,9132606;1,499032
7,678849;0,9109341;1,431157
7,680383;0,9084957;1,588862
7,682076;0,9061936;1,360389
7,683675;0,9036553;1,58665
7,685455;0,9012556;1,348288
7,687209;0,8985859;1,522146
7,688894;0,8959551;1,561787
7,690551;0,8934283;1,524165
7,692235;0,8909416;1,477631
7,693823;0,8884172;1,588457
7,695526;0,8860334;1,400604
7,697069;0,8834804;1,65456
7,69863;0,8811659;1,482234
7,700165;0,8788237;1,525978
7,70186;0,8765213;1,358158
7,706306;0,8739786;0,5719927
7,7081;0,8673103;3,715948
7,709797;0,8646185;1,586366
7,711404;0,8620734;1,583709
7,712987;0,8596627;1,52274
7,714756;0,8572881;1,342596
7,716321;0,854635;1,695572
7,717863;0,8522879;1,521787
7,719402;0,8499745;1,502914
7,720958;0,8476655;1,484292
7,722782;0,8453321;1,279067
7,724434;0,8425957;1,656747
7,72605;0,8401182;1,532364
7,727704;0,837693;1,466703
7,72932;0,8352127;1,535105
7,731036;0,8327892;1,41231
7,733901;0,8302152;0,8983132
7,735614;0,8259171;2,509834
7,737297;0,8233483;1,526094
7,738904;0,8208236;1,57122
7,740509;0,8184132;1,501309
7,742266;0,8160049;1,371138
7,743822;0,8133703;1,692852
7,74545;0,8110359;1,433425
7,747036;0,808593;1,540288
7,748575;0,806214;1,546111
7,750126;0,8039059;1,488502
7,751729;0,80158;1,450419
7,753297;0,7991746;1,534549
7,754855;0,7968234;1,50913
7,756565;0,7944864;1,366894
7,75821;0,7919219;1,558712
7,759788;0,7894539;1,563862
7,764099;0,7870868;0,5490673
7,766194;0,78062;3,086633
7,767862;0,7774773;1,884764
7,769485;0,7749763;1,540163
7,771121;0,7725404;1,489551
7,772702;0,7700874;1,551334
7,774333;0,7677156;1,453658
7,77597;0,7652682;1,495342
7,777564;0,7628132;1,540765
7,779104;0,7604231;1,552004
7,780639;0,7581131;1,50448
7,782407;0,75581;1,302819
7,784057;0,7531583;1,606891
7,785684;0,750683;1,522057
7,787249;0,7482435;1,558249
7,788886;0,7458953;1,434568
7,7905;0,7434399;1,521096
7,79213;0,7410186;1,485928
7,793716;0,7385743;1,540472
7,795305;0,7361943;1,49822
7,796866;0,7338114;1,525919
7,799124;0,731469;1,037655
7,801063;0,7280829;1,746392
7,802857;0,7251745;1,620521
7,804434;0,7224825;1,707066
7,806004;0,720117;1,506995
7,807751;0,7177624;1,348083
7,809374;0,7151425;1,61365
7,810925;0,7127071;1,570812
7,812657;0,7103815;1,342257
7,8143;0,7077826;1,582465
7,815959;0,7053192;1,484638
7,820316;0,7028302;0,5713104
7,822253;0,6962953;3,372664
7,82386;0,6933889;1,808464
7,825421;0,6909783;1,544299
7,827016;0,6886368;1,468031
7,829325;0,6862443;1,036464
7,831241;0,6827819;1,806644
7,832808;0,6799071;1,834311
7,834367;0,6775563;1,507798
7,835907;0,6752177;1,518997
7,837518;0,6729083;1,433686
7,83909;0,6704921;1,537019
7,840673;0,6681341;1,489307
7,842381;0,6657591;1,390159
7,844;0,6631966;1,583209
7,845583;0,6607687;1,533234
7,847134;0,6583934;1,532515
7,848657;0,6560686;1,526513
7,850268;0,653784;1,417464
7,851821;0,6513665;1,556305
7,853424;0,6490363;1,454691
7,854979;0,6466336;1,544464
7,856522;0,6443001;1,512132
7,858046;0,6419853;1,5194
7,860015;0,6397001;1,160493
7,86211;0,6367462;1,410278
7,863708;0,6336045;1,964583
7,865265;0,6312057;1,541539
7,866908;0,6288715;1,42068
7,8685;0,626407;1,548133
7,870122;0,6240192;1,47133
7,874471;0,6215848;0,5598962
7,876146;0,615063;3,89223
7,877748;0,6125496;1,569115
7,879284;0,6101469;1,564374
7,88086;0,607843;1,461734
7,88257;0,6054789;1,382226
7,884153;0,6029133;1,62053
7,885754;0,6005384;1,484267
7,887404;0,5981385;1,454005
7,889007;0,5956625;1,54436
7,891179;0,5932577;1,107186
7,893161;0,5899997;1,643706
7,894785;0,5870266;1,830863
7,896384;0,5845907;1,523843
7,89799;0,582193;1,492825
7,899597;0,5797837;1,49952
7,901163;0,5773736;1,538496
7,90289;0,5750239;1,360903
7,904427;0,572434;1,685024
7,906007;0,5701285;1,458905
7,907594;0,567758;1,493967
7,909169;0,565378;1,510774
7,910813;0,5630149;1,43775
7,912434;0,5605494;1,520742
7,913996;0,5581176;1,556857
7,915538;0,5557746;1,519849
7,917165;0,5534622;1,421105
7,918768;0,5510214;1,521987
7,920363;0,5486159;1,508828
7,92305;0,5462244;0,8900434
7,927764;0,5421941;0,8548832
7,929467;0,5351223;4,153003
7,93107;0,5325682;1,593076
7,934012;0,5301632;0,8173911
7,93566;0,5257499;2,67814
7,937274;0,5232781;1,53142
7,9389;0,5208569;1,489291
7,940524;0,5184184;1,50166
7,942256;0,5159825;1,406144
7,943804;0,513384;1,679245
7,945342;0,5110629;1,50938
7,946914;0,5087562;1,467086
7,948518;0,5063978;1,470347
