Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
0;0;0; 0; 0; 0; 0
0,02;0;0; 0; 0; 0; 0
0,3533334;0;1,75; 0; 0; 1,75; 0
0,3717608;0;1,75; 0; 0; 1,75; 0
0,3808091;0;1,75; 0; 0; 1,75; 0
0,3830535;0;1,75; 0; 0; 1,75; 0
0,3849534;0;1,75; 0; 0; 1,75; 0
0,3867722;0;1,75; 0; 0; 1,75; 0
0,3884856;0;1,75; 0; 0; 1,75; 0
0,3907855;0;1,75; 0; 0; 1,75; 0
0,3951097;0;1,75; 0; 0; 1,75; 0
0,3982773;0;1,75; 0; 0; 1,75; 0
0,400305;0;1,75; 0; 0; 1,75; 0
0,4025114;0;1,75; 0; 0; 1,75; 0
0,4041255;0;1,75; 0; 0; 1,75; 0
0,4058135;0;1,75; 0; 0; 1,75; 0
0,4074346;0;1,75; 0; 0; 1,75; 0
0,4090492;0;1,75; 0; 0; 1,75; 0
0,4106804;0;1,75; 0; 0; 1,75; 0
0,4123102;0;1,75; 0; 0; 1,75; 0
0,4138984;0;1,75; 0; 0; 1,75; 0
0,4155603;0;1,75; 0; 0; 1,75; 0
0,4173867;0;1,75; 0; 0; 1,75; 0
0,4191285;0;1,75; 0; 0; 1,75; 0
0,4207108;0;1,75; 0; 0; 1,75; 0
0,4224795;0;1,75; 0; 0; 1,75; 0
0,4240181;0;1,75; 0; 0; 1,75; 0
0,4256124;0;1,75; 0; 0; 1,75; 0
0,4272133;0;1,75; 0; 0; 1,75; 0
0,4288403;0;1,75; 0; 0; 1,75; 0
0,4304142;0;1,75; 0; 0; 1,75; 0
0,4320965;0;1,75; 0; 0; 1,75; 0
0,4338917;0;1,75; 0; 0; 1,75; 0
0,4355278;0;1,75; 0; 0; 1,75; 0
0,4372452;0;1,75; 0; 0; 1,75; 0
0,4391021;0;1,75; 0; 0; 1,75; 0
0,4409744;0;1,75; 0; 0; 1,75; 0
0,4428155;0;1,75; 0; 0; 1,75; 0
0,4444634;0;1,75; 0; 0; 1,75; 0
0,4461119;0;1,75; 0; 0; 1,75; 0
0,4476995;0;1,75; 0; 0; 1,75; 0
0,4493867;0;1,75; 0; 0; 1,75; 0
0,4511299;0;1,75; 0; 0; 1,75; 0
0,4529018;0;1,75; 0; 0; 1,75; 0
0,4545372;0;1,75; 0; 0; 1,75; 0
0,4561695;0;1,75; 0; 0; 1,75; 0
0,4577737;0;1,75; 0; 0; 1,75; 0
0,4593378;0;1,75; 0; 0; 1,75; 0
0,4609863;0;1,75; 0; 0; 1,75; 0
0,4628848;0;1,75; 0; 0; 1,75; 0
