Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0,6110104;0;1,75, 0; 0; 1,75; 0
0,6125868;0;1,75, 0; 0; 1,75; 0
0,6142367;0;1,75, 0; 0; 1,75; 0
0,6157937;0;1,75, 0; 0; 1,75; 0
0,6173368;0;1,75, 0; 0; 1,75; 0
0,6189147;0;1,75, 0; 0; 1,75; 0
0,6204944;0;1,75, 0; 0; 1,75; 0
0,6222847;0;1,75, 0; 0; 1,75; 0
0,623879;0;1,75, 0; 0; 1,75; 0
0,6254533;0;1,75, 0; 0; 1,75; 0
0,6270241;0;1,75, 0; 0; 1,75; 0
0,6285494;0;1,75, 0; 0; 1,75; 0
0,6302343;0;1,75, 0; 0; 1,75; 0
0,6319329;0;1,75, 0; 0; 1,75; 0
0,6333966;0;1,75, 0; 0; 1,75; 0
0,6348352;0;1,75, 0; 0; 1,75; 0
0,636527;0;1,75, 0; 0; 1,75; 0
0,638178;0;1,75, 0; 0; 1,75; 0
0,6397902;0;1,75, 0; 0; 1,75; 0
0,641292;0;1,75, 0; 0; 1,75; 0
0,6430862;0;1,75, 0; 0; 1,75; 0
0,6446993;0;1,75, 0; 0; 1,75; 0
0,6462304;0;1,75, 0; 0; 1,75; 0
0,6477146;0;1,75, 0; 0; 1,75; 0
0,6494095;0;1,75, 0; 0; 1,75; 0
0,6511021;0;1,75, 0; 0; 1,75; 0
0,6526751;0;1,75, 0; 0; 1,75; 0
0,6542376;0;1,75, 0; 0; 1,75; 0
0,6561432;0;1,75, 0; 0; 1,75; 0
0,6578915;0;1,75, 0; 0; 1,75; 0
0,6595631;0;1,75, 0; 0; 1,75; 0
0,6612208;0;1,75, 0; 0; 1,75; 0
0,6631162;0;1,75, 0; 0; 1,75; 0
0,664901;0;1,75, 0; 0; 1,75; 0
0,6668201;0;1,75, 0; 0; 1,75; 0
0,6685464;0;1,75, 0; 0; 1,75; 0
0,6701046;0;1,75, 0; 0; 1,75; 0
0,6717189;0;1,75, 0; 0; 1,75; 0
0,6736995;0;1,75, 0; 0; 1,75; 0
0,6755048;0;1,75, 0; 0; 1,75; 0
0,6770814;0;1,75, 0; 0; 1,75; 0
0,6785978;0;1,75, 0; 0; 1,75; 0
0,6804648;0;1,75, 0; 0; 1,75; 0
0,6822493;0;1,75, 0; 0; 1,75; 0
0,6838685;0;1,75, 0; 0; 1,75; 0
0,6854607;0;1,75, 0; 0; 1,75; 0
0,6871412;0;1,75, 0; 0; 1,75; 0
0,688882;0;1,75, 0; 0; 1,75; 0
0,6905107;0;1,75, 0; 0; 1,75; 0
0,6921577;0;1,75, 0; 0; 1,75; 0
0,6937775;0;1,75, 0; 0; 1,75; 0
0,6953898;0;1,75, 0; 0; 1,75; 0
0,6969333;0;1,75, 0; 0; 1,75; 0
0,7009959;0;1,75, 0; 0; 1,75; 0
0,7029252;0;1,75, 0; 0; 1,75; 0
0,7050564;0;1,75, 0; 0; 1,75; 0
0,7140683;0;1,75, 0; 0; 1,75; 0
0,7159121;0;1,75, 0; 0; 1,75; 0
0,7175756;0;1,75, 0; 0; 1,75; 0
0,7192239;0;1,75, 0; 0; 1,75; 0
0,7208414;0;1,75, 0; 0; 1,75; 0
0,7227038;0;1,75, 0; 0; 1,75; 0
0,7243512;0;1,75, 0; 0; 1,75; 0
0,7259735;0;1,75, 0; 0; 1,75; 0
0,7275683;0;1,75, 0; 0; 1,75; 0
0,7292207;0;1,75, 0; 0; 1,75; 0
0,730831;0;1,75, 0; 0; 1,75; 0
0,7324325;0;1,75, 0; 0; 1,75; 0
0,7341838;0;1,75, 0; 0; 1,75; 0
0,7359847;0;1,75, 0; 0; 1,75; 0
0,7375667;0;1,75, 0; 0; 1,75; 0
0,739089;0;1,75, 0; 0; 1,75; 0
0,7406384;0;1,75, 0; 0; 1,75; 0
0,7422976;0;1,75, 0; 0; 1,75; 0
0,743869;0;1,75, 0; 0; 1,75; 0
0,7454379;0;1,75, 0; 0; 1,75; 0
0,7470786;0;1,75, 0; 0; 1,75; 0
0,7486408;0;1,75, 0; 0; 1,75; 0
0,7502219;0;1,75, 0; 0; 1,75; 0
0,7518403;0;1,75, 0; 0; 1,75; 0
0,7534756;0;1,75, 0; 0; 1,75; 0
0,7550454;0;1,75, 0; 0; 1,75; 0
0,756632;0;1,75, 0; 0; 1,75; 0
0,7583886;0;1,75, 0; 0; 1,75; 0
0,760045;0;1,75, 0; 0; 1,75; 0
0,76185;0;1,75, 0; 0; 1,75; 0
0,7635002;0;1,75, 0; 0; 1,75; 0
0,7651928;0;1,75, 0; 0; 1,75; 0
0,7667727;0;1,75, 0; 0; 1,75; 0
0,7684137;0;1,75, 0; 0; 1,75; 0
0,7699977;0;1,75, 0; 0; 1,75; 0
0,771653;0;1,75, 0; 0; 1,75; 0
0,7732798;0;1,75, 0; 0; 1,75; 0
0,7749407;0;1,75, 0; 0; 1,75; 0
0,7767721;0;1,75, 0; 0; 1,75; 0
0,7786938;0;1,75, 0; 0; 1,75; 0
0,7803644;0;1,75, 0; 0; 1,75; 0
0,7823865;0;1,75, 0; 0; 1,75; 0
0,7842755;0;1,75, 0; 0; 1,75; 0
0,7860347;0;1,75, 0; 0; 1,75; 0
0,7877351;0;1,75, 0; 0; 1,75; 0
0,7895738;0;1,75, 0; 0; 1,75; 0
0,7914511;0;1,75, 0; 0; 1,75; 0
0,7932105;0;1,75, 0; 0; 1,75; 0
0,7950468;0;1,75, 0; 0; 1,75; 0
0,7968071;0;1,75, 0; 0; 1,75; 0
0,7984905;0;1,75, 0; 0; 1,75; 0
0,8003616;0;1,75, 0; 0; 1,75; 0
0,8023526;0;1,75, 0; 0; 1,75; 0
0,8041251;0;1,75, 0; 0; 1,75; 0
0,805823;0;1,75, 0; 0; 1,75; 0
0,8075828;0;1,75, 0; 0; 1,75; 0
0,8093139;0;1,75, 0; 0; 1,75; 0
0,811206;0;1,75, 0; 0; 1,75; 0
0,8133793;0;1,75, 0; 0; 1,75; 0
0,8153662;0;1,75, 0; 0; 1,75; 0
0,8173107;0;1,75, 0; 0; 1,75; 0
0,8191267;0;1,75, 0; 0; 1,75; 0
0,823426;0;1,75, 0; 0; 1,75; 0
0,8258311;0;1,75, 0; 0; 1,75; 0
0,8277037;0;1,75, 0; 0; 1,75; 0
0,8294293;0;1,75, 0; 0; 1,75; 0
0,8312086;0;1,75, 0; 0; 1,75; 0
0,8329009;0;1,75, 0; 0; 1,75; 0
0,8346436;0;1,75, 0; 0; 1,75; 0
0,8364421;0;1,75, 0; 0; 1,75; 0
0,8387658;0;1,75, 0; 0; 1,75; 0
0,8411425;0;1,75, 0; 0; 1,75; 0
0,8432601;0;1,75, 0; 0; 1,75; 0
0,8451806;0;1,75, 0; 0; 1,75; 0
0,8469531;0;1,75, 0; 0; 1,75; 0
0,8488203;0;1,75, 0; 0; 1,75; 0
0,8505528;0;1,75, 0; 0; 1,75; 0
0,8522552;0;1,75, 0; 0; 1,75; 0
0,8539993;0;1,75, 0; 0; 1,75; 0
0,8559297;0;1,75, 0; 0; 1,75; 0
0,8583485;0;1,75, 0; 0; 1,75; 0
0,8601094;0;1,75, 0; 0; 1,75; 0
0,8622243;0;1,75, 0; 0; 1,75; 0
0,8642072;0;1,75, 0; 0; 1,75; 0
0,8660026;0;1,75, 0; 0; 1,75; 0
0,8679108;0;1,75, 0; 0; 1,75; 0
0,8698768;0;1,75, 0; 0; 1,75; 0
0,8715168;0;1,75, 0; 0; 1,75; 0
0,8730629;0;1,75, 0; 0; 1,75; 0
0,8746839;0;1,75, 0; 0; 1,75; 0
0,8762222;0;1,75, 0; 0; 1,75; 0
0,8778913;0;1,75, 0; 0; 1,75; 0
0,8799335;0;1,75, 0; 0; 1,75; 0
0,8815553;0;1,75, 0; 0; 1,75; 0
0,883246;0;1,75, 0; 0; 1,75; 0
0,8847435;0;1,75, 0; 0; 1,75; 0
0,8862507;0;1,75, 0; 0; 1,75; 0
0,8878855;0;1,75, 0; 0; 1,75; 0
0,8895571;0;1,75, 0; 0; 1,75; 0
0,8915;0;1,75, 0; 0; 1,75; 0
0,8934162;0;1,75, 0; 0; 1,75; 0
0,8949124;0;1,75, 0; 0; 1,75; 0
0,8964;0;1,75, 0; 0; 1,75; 0
0,8979581;0;1,75, 0; 0; 1,75; 0
0,8995468;0;1,75, 0; 0; 1,75; 0
0,9010485;0;1,75, 0; 0; 1,75; 0
0,9031265;0;1,75, 0; 0; 1,75; 0
0,9051981;0;1,75, 0; 0; 1,75; 0
0,9069308;0;1,75, 0; 0; 1,75; 0
0,908645;0;1,75, 0; 0; 1,75; 0
0,9104691;0;1,75, 0; 0; 1,75; 0
0,9122188;0;1,75, 0; 0; 1,75; 0
0,9139031;0;1,75, 0; 0; 1,75; 0
