Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
9,630755;0;1,75; 4,279253; 0; 1,75; 0,2792524
9,632483;0;1,75; 4,282504; 0; 1,75; 0,2825034
9,634194;0;1,75; 4,285095; 0; 1,75; 0,2850951
9,635931;0;1,75; 4,287662; 0; 1,75; 0,2876614
9,637705;0;1,75; 4,290266; 0; 1,75; 0,2902662
9,639309;0;1,75; 4,292927; 0; 1,75; 0,292927
9,640966;0;1,75; 4,295333; 0; 1,75; 0,2953335
9,642798;0;1,75; 4,297819; 0; 1,75; 0,2978187
9,644575;0;1,75; 4,300567; 0; 1,75; 0,3005673
9,64637;0;1,75; 4,303232; 0; 1,75; 0,3032323
9,64833;0;1,75; 4,305924; 0; 1,75; 0,3059239
9,650088;0;1,75; 4,308865; 0; 1,75; 0,3088645
9,65173;0;1,75; 4,311502; 0; 1,75; 0,3115024
9,653389;0;1,75; 4,313963; 0; 1,75; 0,3139633
9,655053;0;1,75; 4,316453; 0; 1,75; 0,316453
9,656787;0;1,75; 4,318949; 0; 1,75; 0,3189491
9,658463;0;1,75; 4,32155; 0; 1,75; 0,3215503
9,660159;0;1,75; 4,324065; 0; 1,75; 0,3240646
9,662184;0;1,75; 4,326609; 0; 1,75; 0,3266086
9,663891;0;1,75; 4,329645; 0; 1,75; 0,3296453
9,665597;0;1,75; 4,332206; 0; 1,75; 0,3322061
9,667373;0;1,75; 4,334765; 0; 1,75; 0,3347654
9,669147;0;1,75; 4,337428; 0; 1,75; 0,3374281
9,670887;0;1,75; 4,340089; 0; 1,75; 0,3400895
9,672573;0;1,75; 4,3427; 0; 1,75; 0,3426995
9,674234;0;1,75; 4,34523; 0; 1,75; 0,3452295
9,675884;0;1,75; 4,347721; 0; 1,75; 0,3477212
9,677652;0;1,75; 4,350196; 0; 1,75; 0,3501959
9,679433;0;1,75; 4,352849; 0; 1,75; 0,3528483
9,681424;0;1,75; 4,355519; 0; 1,75; 0,3555194
9,687667;0;1,75; 4,358505; 0; 1,75; 0,3585051
9,689466;0;1,75; 4,36787; 0; 1,75; 0,3678702
9,69122;0;1,75; 5,370568; 0; 1,75; 0,3705683
9,692974;0;1,75; 5,373199; 0; 1,75; 0,3731996
9,694755;0;1,75; 5,375831; 0; 1,75; 0,3758312
9,696424;0;1,75; 5,378502; 0; 1,75; 0,3785018
9,698135;0;1,75; 5,381006; 0; 1,75; 0,3810064
9,699896;0;1,75; 5,383573; 0; 1,75; 0,3835732
9,701693;0;1,75; 5,386213; 0; 1,75; 0,3862129
9,703521;0;1,75; 5,388908; 0; 1,75; 0,3889079
9,70527;0;1,75; 5,391651; 0; 1,75; 0,3916512
9,706957;0;1,75; 5,394275; 0; 1,75; 0,3942745
9,708776;0;1,75; 5,396804; 0; 1,75; 0,3968045
9,710583;0;1,75; 5,399535; 0; 1,75; 0,399535
9,712234;0;1,75; 5,402244; 0; 1,75; 0,4022434
9,713872;0;1,75; 5,404722; 0; 1,75; 0,4047219
9,715633;0;1,75; 5,407177; 0; 1,75; 0,4071771
9,717304;0;1,75; 5,409819; 0; 1,75; 0,4098193
9,719028;0;1,75; 5,412326; 0; 1,75; 0,4123258
9,720748;0;1,75; 5,414911; 0; 1,75; 0,4149109
9,722596;0;1,75; 5,417492; 0; 1,75; 0,417492
9,727697;0;1,75; 5,420264; 0; 1,75; 0,4202641
9,729611;0;1,75; 5,427915; 0; 1,75; 0,427915
9,7315;0;1,75; 6,430788; 0; 1,75; 0,4307874
9,733299;0;1,75; 6,433619; 0; 1,75; 0,4336194
9,735077;0;1,75; 6,436318; 0; 1,75; 0,4363183
9,73679;0;1,75; 6,438986; 0; 1,75; 0,4389856
9,738561;0;1,75; 6,441555; 0; 1,75; 0,4415548
9,740281;0;1,75; 6,44421; 0; 1,75; 0,4442103
9,742082;0;1,75; 6,446791; 0; 1,75; 0,4467914
9,743873;0;1,75; 6,449492; 0; 1,75; 0,4494918
9,745617;0;1,75; 6,452179; 0; 1,75; 0,4521789
9,747471;0;1,75; 6,454795; 0; 1,75; 0,4547952
9,749119;0;1,75; 6,457575; 0; 1,75; 0,4575753
9,750838;0;1,75; 6,460047; 0; 1,75; 0,4600475
9,752634;0;1,75; 6,462627; 0; 1,75; 0,4626268
9,754418;0;1,75; 6,465321; 0; 1,75; 0,4653207
9,756191;0;1,75; 6,467998; 0; 1,75; 0,4679978
9,757856;0;1,75; 6,470656; 0; 1,75; 0,4706561
9,759527;0;1,75; 6,473155; 0; 1,75; 0,4731546
9,761219;0;1,75; 6,47566; 0; 1,75; 0,4756605
9,763159;0;1,75; 6,478198; 0; 1,75; 0,4781982
9,764787;0;1,75; 6,481108; 0; 1,75; 0,481108
9,766443;0;1,75; 6,48355; 0; 1,75; 0,48355
9,769687;0;1,75; 6,486034; 0; 1,75; 0,4860342
9,771523;0;1,75; 6,490899; 0; 1,75; 0,490899
9,773328;0;1,75; 7,493654; 0; 1,75; 0,4936545
9,775088;0;1,75; 7,496362; 0; 1,75; 0,496362
9,776876;0;1,75; 7,499002; 0; 1,75; 0,4990025
9,778628;0;1,75; 7,501684; 0; 1,75; 0,5016841
9,780274;0;1,75; 7,504313; 0; 1,75; 0,5043125
9,782149;0;1,75; 7,506782; 0; 1,75; 0,5067815
9,783951;0;1,75; 7,509594; 0; 1,75; 0,5095943
9,785677;0;1,75; 7,512295; 0; 1,75; 0,5122953
9,787471;0;1,75; 7,514884; 0; 1,75; 0,5148846
9,789072;0;1,75; 7,517576; 0; 1,75; 0,5175759
9,790701;0;1,75; 7,519977; 0; 1,75; 0,5199773
9,792406;0;1,75; 7,522421; 0; 1,75; 0,5224209
9,79414;0;1,75; 7,524978; 0; 1,75; 0,5249783
9,795897;0;1,75; 7,527579; 0; 1,75; 0,5275788
9,797507;0;1,75; 7,530214; 0; 1,75; 0,5302142
9,799254;0;1,75; 7,53263; 0; 1,75; 0,53263
9,800973;0;1,75; 7,535251; 0; 1,75; 0,5352509
9,802955;0;1,75; 7,537829; 0; 1,75; 0,5378288
9,80463;0;1,75; 7,540802; 0; 1,75; 0,5408024
9,806379;0;1,75; 7,543315; 0; 1,75; 0,5433152
9,808113;0;1,75; 7,545939; 0; 1,75; 0,5459393
9,809779;0;1,75; 7,54854; 0; 1,75; 0,5485401
9,811553;0;1,75; 7,551038; 0; 1,75; 0,5510384
9,813363;0;1,75; 7,553699; 0; 1,75; 0,5536996
9,814992;0;1,75; 7,556415; 0; 1,75; 0,5564145
9,816756;0;1,75; 7,558858; 0; 1,75; 0,5588583
9,818548;0;1,75; 7,561505; 0; 1,75; 0,5615047
9,820207;0;1,75; 7,564192; 0; 1,75; 0,5641921
9,822057;0;1,75; 7,566679; 0; 1,75; 0,5666794
9,823799;0;1,75; 7,569455; 0; 1,75; 0,5694551
9,825562;0;1,75; 7,572069; 0; 1,75; 0,5720686
