Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0,7770311;0;1,75, 0; 0; 1,75; 0
0,7784331;0;1,75, 0; 0; 1,75; 0
0,7799554;0;1,75, 0; 0; 1,75; 0
0,7815055;0;1,75, 0; 0; 1,75; 0
0,7830983;0;1,75, 0; 0; 1,75; 0
0,7844852;0;1,75, 0; 0; 1,75; 0
0,7858853;0;1,75, 0; 0; 1,75; 0
0,7873173;0;1,75, 0; 0; 1,75; 0
0,7887312;0;1,75, 0; 0; 1,75; 0
0,7901731;0;1,75, 0; 0; 1,75; 0
0,7916059;0;1,75, 0; 0; 1,75; 0
0,7930135;0;1,75, 0; 0; 1,75; 0
0,7944676;0;1,75, 0; 0; 1,75; 0
0,7958803;0;1,75, 0; 0; 1,75; 0
0,797307;0;1,75, 0; 0; 1,75; 0
0,7987244;0;1,75, 0; 0; 1,75; 0
0,8001353;0;1,75, 0; 0; 1,75; 0
0,8050449;0;1,75, 0; 0; 1,75; 0
0,807071;0;1,75, 0; 0; 1,75; 0
0,8086163;0;1,75, 0; 0; 1,75; 0
0,8100771;0;1,75, 0; 0; 1,75; 0
0,8115143;0;1,75, 0; 0; 1,75; 0
0,8129482;0;1,75, 0; 0; 1,75; 0
0,8143548;0;1,75, 0; 0; 1,75; 0
0,8157883;0;1,75, 0; 0; 1,75; 0
0,8171728;0;1,75, 0; 0; 1,75; 0
0,8186572;0;1,75, 0; 0; 1,75; 0
0,8201386;0;1,75, 0; 0; 1,75; 0
0,821835;0;1,75, 0; 0; 1,75; 0
0,8233058;0;1,75, 0; 0; 1,75; 0
0,8248956;0;1,75, 0; 0; 1,75; 0
0,8264087;0;1,75, 0; 0; 1,75; 0
0,8278778;0;1,75, 0; 0; 1,75; 0
0,8292859;0;1,75, 0; 0; 1,75; 0
0,8306797;0;1,75, 0; 0; 1,75; 0
0,8321474;0;1,75, 0; 0; 1,75; 0
0,833786;0;1,75, 0; 0; 1,75; 0
0,8353251;0;1,75, 0; 0; 1,75; 0
0,8370364;0;1,75, 0; 0; 1,75; 0
0,8386335;0;1,75, 0; 0; 1,75; 0
0,8401334;0;1,75, 0; 0; 1,75; 0
0,8418148;0;1,75, 0; 0; 1,75; 0
0,8433056;0;1,75, 0; 0; 1,75; 0
0,8448309;0;1,75, 0; 0; 1,75; 0
0,8463265;0;1,75, 0; 0; 1,75; 0
0,847836;0;1,75, 0; 0; 1,75; 0
0,8493131;0;1,75, 0; 0; 1,75; 0
0,8508353;0;1,75, 0; 0; 1,75; 0
0,8524106;0;1,75, 0; 0; 1,75; 0
0,853901;0;1,75, 0; 0; 1,75; 0
0,8554084;0;1,75, 0; 0; 1,75; 0
0,8568087;0;1,75, 0; 0; 1,75; 0
0,8582383;0;1,75, 0; 0; 1,75; 0
0,8597491;0;1,75, 0; 0; 1,75; 0
0,8613418;0;1,75, 0; 0; 1,75; 0
0,8633001;0;1,75, 0; 0; 1,75; 0
0,8650131;0;1,75, 0; 0; 1,75; 0
0,8665541;0;1,75, 0; 0; 1,75; 0
0,8680741;0;1,75, 0; 0; 1,75; 0
