Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
0,6709185;0;1,75, 0; 0; 1,75; 0
0,6724299;0;1,75, 0; 0; 1,75; 0
0,673902;0;1,75, 0; 0; 1,75; 0
0,6756281;0;1,75, 0; 0; 1,75; 0
0,6770978;0;1,75, 0; 0; 1,75; 0
0,6785049;0;1,75, 0; 0; 1,75; 0
0,6798905;0;1,75, 0; 0; 1,75; 0
0,6812539;0;1,75, 0; 0; 1,75; 0
0,6827915;0;1,75, 0; 0; 1,75; 0
0,6841671;0;1,75, 0; 0; 1,75; 0
0,6854972;0;1,75, 0; 0; 1,75; 0
0,6868599;0;1,75, 0; 0; 1,75; 0
0,6884478;0;1,75, 0; 0; 1,75; 0
0,6897418;0;1,75, 0; 0; 1,75; 0
0,6910456;0;1,75, 0; 0; 1,75; 0
0,6923335;0;1,75, 0; 0; 1,75; 0
0,69374;0;1,75, 0; 0; 1,75; 0
0,6951984;0;1,75, 0; 0; 1,75; 0
0,6965048;0;1,75, 0; 0; 1,75; 0
0,6978197;0;1,75, 0; 0; 1,75; 0
0,6991581;0;1,75, 0; 0; 1,75; 0
0,700754;0;1,75, 0; 0; 1,75; 0
0,7023963;0;1,75, 0; 0; 1,75; 0
0,7041198;0;1,75, 0; 0; 1,75; 0
0,7056798;0;1,75, 0; 0; 1,75; 0
0,7071583;0;1,75, 0; 0; 1,75; 0
0,7085176;0;1,75, 0; 0; 1,75; 0
0,709967;0;1,75, 0; 0; 1,75; 0
0,7112828;0;1,75, 0; 0; 1,75; 0
0,7126678;0;1,75, 0; 0; 1,75; 0
0,71424;0;1,75, 0; 0; 1,75; 0
0,7155742;0;1,75, 0; 0; 1,75; 0
0,7168465;0;1,75, 0; 0; 1,75; 0
0,7181251;0;1,75, 0; 0; 1,75; 0
0,7194509;0;1,75, 0; 0; 1,75; 0
0,7230041;0;1,75, 0; 0; 1,75; 0
0,724651;0;1,75, 0; 0; 1,75; 0
0,7261875;0;1,75, 0; 0; 1,75; 0
0,7277106;0;1,75, 0; 0; 1,75; 0
0,7293954;0;1,75, 0; 0; 1,75; 0
0,7307572;0;1,75, 0; 0; 1,75; 0
0,7322402;0;1,75, 0; 0; 1,75; 0
